cond,rho,n,fdr,rep,rep_nw,mean_r,fp
real_heavy,0.1,300,0.20666666666666667,0.11666666666666667,0.11666666666666667,0.080274,0.3466666666666667
real_heavy,0.11,300,0.24666666666666667,0.15666666666666668,0.15666666666666668,0.08844066666666668,0.35
real_heavy,0.12,300,0.31333333333333335,0.21666666666666667,0.21333333333333335,0.09661700000000001,0.3433333333333333
real_heavy,0.13,300,0.38666666666666666,0.28,0.27666666666666667,0.10480266666666668,0.3333333333333333
real_heavy,0.14,300,0.45666666666666667,0.36333333333333334,0.36,0.11299733333333331,0.34
real_heavy,0.15,300,0.5233333333333333,0.4533333333333333,0.45,0.12120866666666667,0.33666666666666667
real_heavy,0.16,300,0.5966666666666667,0.5266666666666666,0.5266666666666666,0.1294326666666667,0.3333333333333333
real_heavy,0.17,300,0.6733333333333333,0.62,0.62,0.13766833333333334,0.32666666666666666
real_heavy,0.18,300,0.73,0.6866666666666666,0.6866666666666666,0.14592100000000002,0.3333333333333333
gaussian,0.1,300,0.27666666666666667,0.07666666666666666,0.07666666666666666,0.09703833333333334,0.37333333333333335
gaussian,0.11,300,0.3566666666666667,0.12,0.11,0.10645566666666667,0.37333333333333335
gaussian,0.12,300,0.46,0.17666666666666667,0.17,0.11587166666666666,0.36666666666666664
gaussian,0.13,300,0.5466666666666666,0.25333333333333335,0.24,0.12528666666666666,0.37
gaussian,0.14,300,0.63,0.3433333333333333,0.34,0.13470266666666666,0.38333333333333336
gaussian,0.15,300,0.69,0.44,0.42333333333333334,0.14411533333333335,0.38
gaussian,0.16,300,0.73,0.5,0.4866666666666667,0.153528,0.4
gaussian,0.17,300,0.7966666666666666,0.5866666666666667,0.5833333333333334,0.16293333333333335,0.4
gaussian,0.18,300,0.8566666666666667,0.6666666666666666,0.66,0.172346,0.39666666666666667
